mkizin+NI	makizin
1+mkizin+NI+Dim+1+Pl+Voc+Pl	nimakizinensnaany1dig

2+mkizin+NI+Con+1+Pl+Prt	gimakizinenynaaniban
2+mkizin+NI+Con+1+Pl+Prt	gimakizinenynaaniba

2+mkizin+NI+Con+1+Pl+Voc+Pl	gimakizinenynaany1dig

2+mkizin+NI+Con+2+Pl+Prt	gimakizinenywaaban
2+mkizin+NI+Con+2+Pl+Prt	gimakizinenywaaba

2+mkizin+NI+Con+2+Pl+Voc+Pl	gimakizinenywaadig

2+mkizin+NI+Dim+1+Pl+Prt	gimakizinensnaaniban
2+mkizin+NI+Dim+1+Pl+Prt	gimakizinensnaaniba

2+mkizin+NI+Dim+1+Pl+Voc+Pl	gimakizinensnaany1dig

2+mkizin+NI+Dim+2+Pl+Prt	gimakizinenswaaban
2+mkizin+NI+Dim+2+Pl+Prt	gimakizinenswaaba

2+mkizin+NI+Dim+2+Pl+Voc+Pl	gimakizinenswaadig

3+mkizin+NI+Con+2+Pl+Prt	omakizinenywaaban
3+mkizin+NI+Con+2+Pl+Prt	omakizinenywaaba

3+mkizin+NI+Con+2+Pl+Voc+Pl	omakizinenywaadig

3+mkizin+NI+Con+3+4+Prt	omakizinenyniwiban
3+mkizin+NI+Con+3+4+Prt	omakizinenyniwiba
3+mkizin+NI+Con+3+4+Prt	omakizinenyniiban
3+mkizin+NI+Con+3+4+Prt	omakizinenyniiba

3+mkizin+NI+Con+3+4+Voc+Pl	omakizinenyniwdig

3+mkizin+NI+Dim+2+Pl+Prt	omakizinenswaaban
3+mkizin+NI+Dim+2+Pl+Prt	omakizinenswaaba

3+mkizin+NI+Dim+2+Pl+Voc+Pl	omakizinenswaadig

3+mkizin+NI+Dim+3+4+Prt	omakizinensniwiban
3+mkizin+NI+Dim+3+4+Prt	omakizinensniwiba
3+mkizin+NI+Dim+3+4+Prt	omakizinensniiban
3+mkizin+NI+Dim+3+4+Prt	omakizinensniiba

3+mkizin+NI+Dim+3+4+Voc+Pl	omakizinensniwdig

1+mkizin+NI+Con+1+Pl+4	nimakizinenynaanin

1+mkizin+NI+Con+1+Pl+Loc	nimakizinenynaaning

1+mkizin+NI+Con+1+Pl+Pl	nimakizinenynaany1an

1+mkizin+NI+Dim+1+Pl+4	nimakizinensnaanin

1+mkizin+NI+Dim+1+Pl+Loc	nimakizinensnaaning

1+mkizin+NI+Dim+1+Pl+Pl	nimakizinensnaany1an

2+mkizin+NI+Con+1+Pl+4	gimakizinenynaanin

2+mkizin+NI+Con+1+Pl+Loc	gimakizinenynaaning

2+mkizin+NI+Con+1+Pl+Pl	gimakizinenynaany1an

2+mkizin+NI+Con+2+Pl+4	gimakizinenywaan

2+mkizin+NI+Con+2+Pl+Loc	gimakizinenywaang

2+mkizin+NI+Con+2+Pl+Pl	gimakizinenywaaan

2+mkizin+NI+Dim+1+Pl+4	gimakizinensnaanin

2+mkizin+NI+Dim+1+Pl+Loc	gimakizinensnaaning

2+mkizin+NI+Dim+1+Pl+Pl	gimakizinensnaany1an

2+mkizin+NI+Dim+2+Pl+4	gimakizinenswaan

2+mkizin+NI+Dim+2+Pl+Loc	gimakizinenswaang

